,future
809,11188.599609375
810,11474.900390625
811,11607.400390625
812,12899.2001953125
813,11600.099609375
814,10931.400390625
815,10868.400390625
816,11359.400390625
817,11259.400390625
818,11171.400390625
819,11440.7001953125
820,11786.2998046875
821,11296.400390625
822,10106.2998046875
823,10221.099609375
824,9170.5400390625
825,8830.75
826,9174.91015625
827,8277.009765625
828,6955.27001953125
829,7754.0
830,7621.2998046875
831,8265.58984375
832,8736.98046875
833,8621.900390625
834,8129.97021484375
835,8926.5703125
836,8598.3095703125
837,9494.6298828125
838,10166.400390625
839,10233.900390625
840,11112.7001953125
841,10551.7998046875
842,11225.2998046875
843,11403.7001953125
844,10690.400390625
845,10005.0
846,10301.099609375
847,9813.0703125
848,9664.73046875
849,10366.7001953125
850,10725.599609375
851,10397.900390625
852,10951.0
853,11086.400390625
854,11489.7001953125
855,11512.599609375
856,11573.2998046875
857,10779.900390625
858,9965.5703125
859,9395.009765625
860,9337.5498046875
861,8866.0
862,9578.6298828125
863,9205.1201171875
864,9194.849609375
865,8269.8095703125
866,8300.8603515625
867,8338.349609375
868,7916.8798828125
869,8223.6796875
870,8630.650390625
871,8913.4697265625
872,8929.2802734375
873,8728.4697265625
874,8879.6201171875
875,8668.1201171875
876,8495.7802734375
877,8209.400390625
878,7833.0400390625
879,7954.47998046875
880,7165.7001953125
881,6890.52001953125
882,6973.52978515625
883,6844.22998046875
884,7083.7998046875
885,7456.10986328125
886,6853.83984375
887,6811.47021484375
888,6636.31982421875
889,6911.08984375
890,7023.52001953125
891,6770.72998046875
892,6834.759765625
893,6968.31982421875
894,7889.25
895,7895.9599609375
896,7986.240234375
897,8329.1103515625
898,8058.669921875
899,7902.08984375
900,8163.419921875
901,8294.3095703125
902,8845.830078125
903,8895.580078125
904,8802.4599609375
905,8930.8798828125
906,9697.5
907,8845.740234375
908,9281.509765625
909,8987.0498046875
910,9348.48046875
911,9419.080078125
912,9240.5498046875
913,9119.009765625
914,9235.919921875
915,9743.8603515625
916,9700.759765625
917,9858.150390625
918,9654.7998046875
919,9373.009765625
920,9234.8203125
921,9325.1796875
922,9043.9404296875
923,8441.490234375
924,8504.8896484375
925,8723.9404296875
926,8716.7900390625
927,8510.3798828125
928,8368.830078125
929,8094.31982421875
930,8250.9697265625
931,8247.1796875
932,8513.25
933,8418.990234375
934,8041.77978515625
935,7557.81982421875
936,7587.33984375
937,7480.14013671875
938,7355.8798828125
939,7368.22021484375
940,7135.990234375
941,7472.58984375
942,7406.52001953125
943,7494.169921875
944,7541.4501953125
945,7643.4501953125
946,7720.25
947,7514.47021484375
948,7633.759765625
949,7653.97998046875
950,7678.240234375
951,7624.919921875
952,7531.97998046875
953,6786.02001953125
954,6906.919921875
955,6582.35986328125
956,6349.89990234375
957,6675.35009765625
958,6456.580078125
959,6550.16015625
960,6499.27001953125
961,6734.81982421875
962,6769.93994140625
963,6776.5498046875
964,6729.740234375
965,6083.68994140625
966,6162.47998046875
967,6173.22998046875
968,6249.18017578125
969,6093.669921875
970,6157.1298828125
971,5903.43994140625
972,6218.2998046875
973,6404.0
974,6385.81982421875
975,6614.18017578125
976,6529.58984375
977,6597.5498046875
978,6639.14013671875
979,6673.5
980,6856.93017578125
981,6773.8798828125
982,6741.75
983,6329.9501953125
984,6394.7099609375
985,6228.81005859375
986,6238.0498046875
987,6276.1201171875
988,6359.64013671875
989,6741.75
990,7321.0400390625
991,7370.77978515625
992,7466.85986328125
993,7354.1298828125
994,7419.2900390625
995,7418.490234375
996,7711.10986328125
997,8424.26953125
998,8181.39013671875
999,7951.580078125
1000,8165.009765625
1001,8192.150390625
1002,8218.4599609375
1003,8180.47998046875
1004,7780.43994140625
1005,7624.91015625
1006,7567.14990234375
1007,7434.39013671875
1008,7032.85009765625
1009,7068.47998046875
1010,6951.7998046875
1011,6753.1201171875
1012,6305.7998046875
1013,6568.22998046875
1014,6184.7099609375
1015,6295.72998046875
1016,6322.68994140625
1017,6297.56982421875
1018,6199.7099609375
1019,6308.52001953125
1020,6334.72998046875
1021,6580.6298828125
1022,6423.759765625
1023,6506.06982421875
1024,6308.52978515625
1025,6488.759765625
1026,6376.7099609375
1027,6534.8798828125
1028,6719.9599609375
1029,6763.18994140625
1030,6707.259765625
1031,6884.64013671875
1032,7096.27978515625
1033,7047.16015625
1034,6978.22998046875
1035,7037.580078125
1036,7193.25
1037,7272.72021484375
1038,7260.06005859375
1039,7361.66015625
1040,6792.830078125
1041,6529.169921875
1042,6467.06982421875
1043,6225.97998046875
1044,6300.85986328125
1045,6329.7001953125
1046,6321.2001953125
1047,6351.7998046875
1048,6517.31005859375
1049,6512.7099609375
1050,6543.2001953125
1051,6517.18017578125
1052,6281.2001953125
1053,6371.2998046875
1054,6398.5400390625
1055,6519.669921875
1056,6734.9501953125
1057,6721.97998046875
1058,6710.6298828125
1059,6595.41015625
1060,6446.47021484375
1061,6495.0
1062,6676.75
1063,6644.1298828125
1064,6601.9599609375
1065,6625.56005859375
1066,6589.6201171875
1067,6556.10009765625
1068,6502.58984375
1069,6576.68994140625
1070,6622.47998046875
1071,6588.31005859375
1072,6602.9501953125
1073,6652.22998046875
1074,6642.64013671875
1075,6585.52978515625
1076,6256.240234375
1077,6274.580078125
1078,6285.990234375
1079,6290.93017578125
1080,6596.5400390625
1081,6596.10986328125
1082,6544.43017578125
1083,6476.7099609375
1084,6465.41015625
1085,6489.18994140625
1086,6482.35009765625
1087,6487.16015625
1088,6475.740234375
1089,6495.83984375
1090,6476.2900390625
1091,6474.75
1092,6480.3798828125
1093,6486.39013671875
1094,6332.6298828125
1095,6334.27001953125
1096,6317.60986328125
1097,6377.77978515625
1098,6388.43994140625
1099,6361.259765625
1100,6376.1298828125
1101,6419.66015625
1102,6461.009765625
1103,6530.14013671875
1104,6453.72021484375
1105,6385.6201171875
1106,6409.22021484375
1107,6411.27001953125
1108,6371.27001953125
1109,6359.490234375
1110,5738.35009765625
1111,5648.02978515625
1112,5575.5498046875
1113,5554.330078125
1114,5623.5400390625
1115,4871.490234375
1116,4451.8701171875
1117,4602.169921875
1118,4365.93994140625
1119,4347.10986328125
1120,3880.760009765625
1121,4009.969970703125
1122,3779.1298828125
1123,3820.719970703125
1124,4257.419921875
1125,4278.8466796875
1126,4017.2685546875
1127,4214.671875
1128,4139.8779296875
1129,3894.130859375
1130,3956.893798828125
1131,3753.994873046875
1132,3521.101806640625
1133,3419.937255859375
1134,3476.11474609375
1135,3614.234375
1136,3502.656005859375
1137,3424.588134765625
1138,3486.9501953125
1139,3313.67724609375
1140,3242.48486328125
1141,3236.76171875
1142,3252.839111328125
1143,3545.86474609375
1144,3696.05908203125
1145,3745.95068359375
1146,4134.44140625
1147,3896.543701171875
1148,4014.1826171875
1149,3998.980224609375
1150,4078.59912109375
1151,3815.49072265625
1152,3857.297607421875
1153,3654.83349609375
1154,3923.918701171875
1155,3820.40869140625
1156,3865.95263671875
1157,3742.700439453125
1158,3843.52001953125
1159,3943.409423828125
1160,3836.7412109375
1161,3857.717529296875
1162,3845.194580078125
1163,4076.632568359375
1164,4025.248291015625
1165,4030.847900390625
1166,4035.29638671875
1167,3678.924560546875
1168,3687.365478515625
1169,3661.301025390625
1170,3552.953125
1171,3706.05224609375
1172,3630.67529296875
1173,3655.0068359375
1174,3678.56396484375
1175,3657.83935546875
1176,3728.568359375
1177,3601.013671875
1178,3576.032470703125
1179,3604.5771484375
1180,3585.123046875
1181,3600.865478515625
1182,3599.765869140625
1183,3602.46044921875
1184,3583.9658203125
1185,3470.450439453125
1186,3448.116943359375
1187,3486.181640625
1188,3457.792724609375
1189,3487.9453125
1190,3521.060791015625
1191,3464.013427734375
1192,3459.154052734375
1193,3466.357421875
1194,3413.767822265625
1195,3399.4716796875
1196,3666.7802734375
1197,3671.20361328125
1198,3690.188232421875
1199,3648.4306640625
1200,3653.528564453125
1201,3632.070556640625
1202,3616.880859375
1203,3620.810791015625
1204,3629.78759765625
1205,3673.836181640625
1206,3915.71435546875
1207,3947.094482421875
1208,3999.820556640625
1209,3954.1181640625
1210,4005.526611328125
1211,4142.52685546875
1212,3810.427490234375
1213,3882.6962890625
1214,3854.35791015625
1215,3851.04736328125
1216,3854.785400390625
1217,3859.583740234375
1218,3864.4150390625
1219,3847.17578125
1220,3761.55712890625
1221,3896.375
1222,3903.942626953125
1223,3911.484375
1224,3901.131591796875
1225,3963.313720703125
1226,3951.599853515625
1227,3905.227294921875
1228,3909.15625
1229,3906.71728515625
1230,3924.369140625
1231,3960.9111328125
1232,4048.725830078125
1233,4025.22900390625
1234,4032.50732421875
1235,4071.190185546875
